CITYGEONAME,LATITUDE,LONGITUDE,USERS
Skarsvåg,71.111970,25.822610,33
Gjesvær,71.095630,25.371300,11
Mehamn,71.037640,27.848030,28
Havøysund,70.997890,24.660120,42
Honningsvåg,70.989490,25.945830,139
Nordvågen,70.983860,26.031670,30
Kjøllefjord,70.946080,27.331580,11
Berlevåg,70.859860,29.089030,27
Hammerfest,70.682650,23.687320,57
Uummannaq,70.675760,-52.131530,16
Hammerfest,70.673770,23.668850,19
Hammerfest,70.662770,23.681840,663
Hammerfest,70.660740,23.704920,31
Rypefjord,70.637550,23.672150,77
Båtsfjord,70.633770,29.716940,79
Lebesby,70.574110,27.002040,14
Kvalsund,70.478730,23.916140,19
Vardø,70.373120,31.104860,59
Tana,70.273640,28.172220,31
Vannareid,70.199680,19.610220,44
Årviksand,70.194090,20.523130,35
Barrow,70.133660,-157.014500,22
Vestre Jakobselv,70.120030,29.337620,14
Vadsø,70.079410,29.744620,199
Talvik,70.050310,22.957000,63
Lakselv,70.050070,24.955770,117
Skjervøy,70.028950,20.982720,113
Alta,69.971740,23.266380,329
Alta,69.971160,23.357200,91
Alta,69.970610,23.286620,258
Alta,69.965570,23.324800,98
Hansnes,69.962280,19.611540,55
Burfjord,69.958890,22.041540,19
Alta,69.957950,23.240100,93
Alta,69.956350,23.469210,101
Alta,69.956140,23.374710,36
Alta,69.951740,23.213450,195
Alta,69.904970,23.201260,38
Rotsund,69.817830,20.739480,20
Kvaløya,69.788560,18.890630,24
Sørkjosen,69.785100,20.952130,48
Storslett,69.764560,21.141680,84
Krokelvdalen,69.747340,19.228470,17
Kirkenes,69.722410,30.059570,388
Kvaløya,69.709380,18.625400,86
Kvaløysletta,69.702680,18.894520,60
Tromsø,69.701400,18.976660,382
Kvaløysletta,69.695740,18.871630,22
Tromsø,69.695350,19.001580,398
Hesseng,69.692480,29.991610,68
Kvaløysletta,69.688060,18.846600,286
Kvaløya,69.685540,18.809820,94
Tromsø,69.684860,18.991920,72
Tromsø,69.683460,18.948810,313
Krokelvdalen,69.683310,19.072270,267
Tromsø,69.676320,18.936120,286
Tromsø,69.669320,18.966940,339
Bjørnevatn,69.668010,29.971300,109
Tromsø,69.666070,18.926630,695
Tromsø,69.660130,18.949740,102
Tomasjord,69.658860,19.021060,1947
Tromsø,69.654030,18.950580,149
Tromsø,69.651490,18.927770,181
Tromsø,69.651180,18.956770,323
Kvaløya,69.649440,18.771500,108
Tromso,69.648903,18.955099,56
Tromsø,69.644290,18.907560,178
Tromsø,69.642330,18.933720,258
Sommarøy,69.634960,18.004780,11
Tromsø,69.634200,18.922480,184
Tromsdalen,69.634060,18.974490,860
Olderdalen,69.606410,20.526850,78
Ramfjordbotn,69.571500,19.206740,23
Straumsbukta,69.566980,18.651540,12
Lyngseidet,69.565940,20.231850,96
Tromsdalen,69.553540,18.996630,11
Botnhamn,69.507530,17.901900,14
Birtavarre,69.494060,20.833650,15
Karasjok,69.460080,25.453430,112
Svanvik,69.458560,30.033810,18
Skaland,69.420080,17.335930,13
Mortenhals,69.398270,18.604620,11
Laksvatn,69.393220,19.443100,103
Skibotn,69.389180,20.278620,16
Gibostad,69.381820,17.982960,19
Rossfjordstraumen,69.363360,18.311940,16
Andenes,69.313250,16.104310,125
Bleik,69.272410,15.959480,46
Oteren,69.255770,19.882790,34
Nordkjosbotn,69.249700,19.556260,39
Silsand,69.241460,17.862210,52
Finnsnes,69.234030,18.012980,303
Storsteinnes,69.233350,19.207320,105
Ilulissat,69.216670,-51.100000,108
Karlstad,69.213000,18.471820,19
Moen,69.164610,18.657640,51
Dverberg,69.143160,16.003610,77
Sørreisa,69.137790,18.135620,78
Stonglandseidet,69.076690,17.043420,12
Brøstadbotn,69.062610,17.650470,54
Bardufoss,69.051350,18.575730,264
Risøyhamn,69.018460,15.813950,24
Kautokeino,69.014330,23.048890,61
Øverbygd,69.010800,19.403100,27
Grøtavær,68.964960,16.257050,20
Murmansk,68.953180,33.107050,25
Myre,68.912220,15.082540,452
Alsvåg,68.901790,15.278220,104
Sjøvegan,68.885600,17.834880,25
Bardu,68.853900,18.379810,153
Harstad,68.817640,16.475120,271
Qasigiannguit,68.816670,-51.183330,11
Harstad,68.810090,16.543230,154
Harstad,68.808230,16.510370,91
Harstad,68.801050,16.535840,200
Harstad,68.793210,16.528860,87
Hamnvik,68.791790,17.097950,17
Harstad,68.786940,16.539260,117
Harstad,68.786170,16.580870,176
Harstad,68.785630,16.553270,62
Harstad,68.783990,16.527680,149
Borkenes,68.773220,16.181420,172
Harstad,68.772710,16.558580,429
Harstad,68.758140,16.558610,177
Tennevoll,68.754270,17.788900,14
Sortland,68.752240,15.634120,14
Ivalo,68.741200,27.592700,12
Sortland,68.733480,15.318770,14
Sortland,68.715320,15.159780,176
Straumsjøen,68.712610,14.584530,21
Aasiaat,68.710310,-52.844010,69
Gratangen,68.703460,17.519430,27
Sortland,68.700960,15.399330,73
Sortland,68.694430,15.409090,1015
Sørvik,68.688830,16.529340,14
Noyabrsk,68.688690,74.141170,18
Sortland,68.684440,15.393340,308
Sortland,68.661780,15.489340,48
Sortland,68.655160,15.310820,242
Bø I Vesterålen,68.625210,14.488460,166
Stokmarknes,68.572720,14.928490,400
Evenskjer,68.572040,16.632030,113
Bjerkvik,68.548650,17.529510,86
Bogen I Ofoten,68.505830,17.074450,30
Melbu,68.502950,14.803360,125
Ramsund,68.493870,16.515220,13
Liland,68.493680,16.825810,12
Tårstad,68.466510,16.638310,21
Narvik,68.458600,17.547630,107
Narvik,68.440600,17.408310,182
Narvik,68.438100,17.449270,120
Narvik,68.435600,17.437201,203
Narvik,68.427110,17.435020,149
